n_day,date,Tmax,Tmin,Tave
0, 1955-10-20, 12.00, 4.00, 8.00
1, 1955-10-21, 7.00, -3.00, 2.00
2, 1955-10-22, 1.00, -5.00, -2.00
3, 1955-10-23, 5.00, -6.00, 0.00
4, 1955-10-24, 13.00, 0.00, 6.00
5, 1955-10-25, 2.00, -5.00, -2.00
6, 1955-10-26, 1.00, -5.00, -2.00
7, 1955-10-27, 4.00, 0.00, 2.00
8, 1955-10-28, 14.00, -1.00, 6.00
9, 1955-10-29, 14.00, 3.00, 8.00
10, 1955-10-30, 10.00, 3.00, 6.00
11, 1955-10-31, 9.00, 5.00, 7.00
12, 1955-11-01, 10.00, 5.00, 8.00
13, 1955-11-02, 6.00, 1.00, 4.00
14, 1955-11-03, 2.00, 0.00, 1.00
15, 1955-11-04, 3.00, -1.00, 1.00
16, 1955-11-05, 4.00, 0.00, 2.00
17, 1955-11-06, 4.00, 0.00, 2.00
18, 1955-11-07, 7.00, -1.00, 3.00
19, 1955-11-08, 5.00, -2.00, 2.00
20, 1955-11-09, 3.00, -4.00, 0.00
21, 1955-11-10, 6.00, -4.00, 1.00
22, 1955-11-11, 2.00, -2.00, 0.00
23, 1955-11-12, 8.00, -2.00, 3.00
24, 1955-11-13, 8.00, -3.00, 2.00
25, 1955-11-14, 4.00, -3.00, 0.00
26, 1955-11-15, 2.00, -4.00, -1.00
27, 1955-11-16, 2.00, -3.00, 0.00
28, 1955-11-17, 4.00, -4.00, 0.00
29, 1955-11-18, -1.00, -4.00, -2.00
30, 1955-11-19, -1.00, -6.00, -4.00
31, 1955-11-20, -2.00, -7.00, -4.00
32, 1955-11-21, 0.00, -8.00, -4.00
33, 1955-11-22, -1.00, -9.00, -5.00
34, 1955-11-23, 1.00, -7.00, -3.00
35, 1955-11-24, 3.00, -3.00, 0.00
36, 1955-11-25, 0.00, -8.00, -4.00
37, 1955-11-26, -3.00, -9.00, -6.00
38, 1955-11-27, 0.00, -8.00, -4.00
39, 1955-11-28, 2.00, -4.00, -1.00
40, 1955-11-29, -3.00, -11.00, -7.00
41, 1955-11-30, -1.00, -9.00, -5.00
42, 1955-12-01, -3.00, -9.00, -6.00
43, 1955-12-02, -3.00, -8.00, -6.00
44, 1955-12-03, 2.00, -6.00, -2.00
45, 1955-12-04, 0.00, -6.00, -3.00
46, 1955-12-05, 2.00, -6.00, -2.00
47, 1955-12-06, -5.00, -16.00, -10.00
48, 1955-12-07, -5.00, -14.00, -10.00
49, 1955-12-08, 0.00, -11.00, -6.00
50, 1955-12-09, -2.00, -11.00, -6.00
51, 1955-12-10, -7.00, -12.00, -10.00
52, 1955-12-11, -3.00, -12.00, -8.00
53, 1955-12-12, -5.00, -13.00, -9.00
54, 1955-12-13, -4.00, -9.00, -6.00
55, 1955-12-14, -2.00, -11.00, -6.00
56, 1955-12-15, -3.00, -9.00, -6.00
57, 1955-12-16, -8.00, -16.00, -12.00
58, 1955-12-17, -7.00, -15.00, -11.00
59, 1955-12-18, -3.00, -10.00, -6.00
60, 1955-12-19, -9.00, -18.00, -14.00
61, 1955-12-23, -7.00, -18.00, -12.00
62, 1955-12-24, 2.00, -12.00, -5.00
63, 1955-12-25, 0.00, -18.00, -9.00
64, 1955-12-26, -13.00, -18.00, -16.00
65, 1955-12-27, -10.00, -18.00, -14.00
66, 1955-12-28, -7.00, -17.00, -12.00
67, 1955-12-29, -7.00, -17.00, -12.00
68, 1955-12-30, -6.00, -21.00, -14.00
69, 1955-12-31, -15.00, -22.00, -18.00
70, 1956-01-01, -11.00, -24.00, -18.00
71, 1956-01-02, -2.00, -24.00, -13.00
72, 1956-01-03, -3.00, -17.00, -10.00
73, 1956-01-04, 0.00, -6.00, -3.00
74, 1956-01-05, -2.00, -9.00, -6.00
75, 1956-01-06, -5.00, -13.00, -9.00
76, 1956-01-07, -1.00, -13.00, -7.00
77, 1956-01-08, 4.00, -15.00, -6.00
78, 1956-01-09, 5.00, 0.00, 2.00
79, 1956-01-10, 4.00, 0.00, 2.00
80, 1956-01-11, 2.00, -2.00, 0.00
81, 1956-01-12, 2.00, -2.00, 0.00
82, 1956-01-13, 2.00, -8.00, -3.00
83, 1956-01-14, -3.00, -8.00, -6.00
84, 1956-01-15, -2.00, -6.00, -4.00
85, 1956-01-16, 0.00, -7.00, -4.00
