#       event name   latitude  longitude      depth  magnitude
20181013_111022.a     52.855    153.243    461.000       6.70
20200901_210917.a    -27.915    -71.372     15.000       6.50
20170218_121017.a    -23.861    -66.659    222.000       6.30
20150917_035515.a    -31.424    -71.688     27.000       6.50
20170424_213830.a    -33.029    -72.045     28.000       6.90
20151126_054518.a     -9.182    -71.257    603.000       6.70
20171113_022823.a      9.515    -84.487     19.000       6.50
20141208_085452.a      7.940    -82.686     20.000       6.60
20140624_031538.a     52.009    176.782     23.000       6.40
20181025_225452.a     37.515     20.564     14.000       6.80
20180121_010642.a    -18.852    -69.456    116.000       6.30
20161120_205743.a    -31.643    -68.764    116.000       6.40
20190105_192538.a     -8.149    -71.583    571.000       6.80
20140824_232143.a    -14.589    -73.450     74.000       6.80
20221016_124824.a      4.400    -87.500     10.000       6.70
20171008_223433.a     52.450    176.808    112.000       6.60
20141009_021429.a    -32.299   -110.924      4.000       7.00
20201227_213914.a    -39.337    -74.988     10.000       6.70
20190804_102303.a     37.760    141.609     38.000       6.30
20151107_073143.a    -30.880    -71.452     46.000       6.80
20150202_104948.a    -32.648    -67.150    173.000       6.30
20171130_063250.a     -1.080    -23.432     10.000       6.50
20210721_211512.a      7.390    -82.782     10.000       6.70
20221214_184026.a     51.608    178.597     73.000       6.30
20221214_184026.a     51.620    178.616     73.000       6.30
20200906_011658.a    -30.350    -71.494     28.000       6.30
20181130_172929.a     61.346   -149.955     47.000       7.00
20180124_105119.a     41.103    142.432     31.000       6.30
20140711_192200.a     37.005    142.452     20.000       6.60
20150707_051027.a     43.970    148.004     51.000       6.30
20140316_211628.a    -19.905    -70.616      9.000       6.70
20220604_233812.a     52.070    178.301    105.000       6.30
20201220_172322.a     40.867    142.581     35.000       6.30
20210320_090944.a     38.475    141.633     43.000       7.00
20200906_065119.a      7.693    -37.217     10.000       6.70
20140513_063524.a      7.145    -82.240     13.000       6.50
20181111_140359.a     15.565    -49.872     10.000       6.30
20210111_213259.a     51.277    100.437     10.000       6.70
20221020_115712.a      7.686    -82.335     20.000       6.70
20160210_003305.a    -30.572    -71.584     29.000       6.30
20200918_214358.a      0.917    -26.841     10.000       6.90
20150323_045137.a    -18.354    -69.188    127.000       6.40
20201130_225503.a    -24.332    -67.020    189.000       6.30
20200603_073534.a    -23.296    -68.422     97.000       6.80
20140315_235132.a     -5.672    -80.935     26.000       6.30
20200502_125106.a     34.205     25.712     17.000       6.60
20190929_155753.a    -35.476    -73.163     11.000       6.70
20180402_134034.a    -20.659    -63.006    559.000       6.80
20170612_122839.a     38.915     26.371     12.000       6.30
20190618_132219.a     38.637    139.480     12.000       6.40
20140317_051133.a    -20.060    -70.828      5.000       6.40
20220322_163508.a     10.745    -43.382     10.000       6.70
20140711_192205.a     36.970    142.390     12.000       6.50
20180815_215654.a     51.422   -178.052     20.000       6.60
20170717_110509.a     54.583    168.647     10.000       6.30
20150211_185720.a    -23.065    -66.662    204.000       6.70
20200830_212029.a      0.782    -29.866     10.000       6.50
20161218_133011.a     -9.966    -70.970    623.000       6.40
20220712_191658.a    -22.592   -114.259     10.000       6.80
20201229_111954.a     45.425     16.258     10.000       6.40
20171010_063220.a    -18.521    -69.641     82.000       6.30
20150529_070007.a     56.708   -156.676     65.000       6.80
20140824_232141.a    -14.520    -73.535     70.000       6.80
20150727_044945.a     52.276   -169.535     28.000       6.90
20220111_010748.a     35.233     31.947     21.000       6.60
20170720_223111.a     36.925     27.413      7.000       6.60
20190402_213530.a     52.167    178.068      8.000       6.40
20220712_191702.a    -22.778   -114.629     33.000       6.60
20150512_211258.a     38.901    142.022     39.000       6.80
20161104_162043.a    -35.103    -70.996     91.000       6.40
20140720_183247.a     44.642    148.784     61.000       6.30
20220203_155857.a     -4.459    -76.931    110.000       6.50
20190120_013251.a    -30.071    -71.420     55.000       6.70
20180812_145854.a     69.562   -145.300      2.000       6.30
20220608_005546.a     -9.086    -71.205    609.000       6.50
20170221_140904.a    -19.281    -63.905    596.000       6.50
20170818_025921.a     -1.091    -13.663     10.000       6.60
20201130_225434.a     48.252    140.797    589.000       6.40
20191124_005401.a     51.381   -175.511     20.000       6.30
20190301_085042.a    -14.702    -70.135    267.000       7.00
20170329_040923.a     56.938    162.787     16.000       6.60
20200915_034128.a     55.970    158.417    344.000       6.40
20210119_024622.a    -31.830    -68.806     20.000       6.40
20161030_064019.a     42.855     13.088     10.000       6.60
20190801_182807.a    -34.237    -72.308     25.000       6.80
20150921_174000.a    -31.727    -71.379     35.000       6.60
20220510_230632.a    -23.496    -66.652    220.000       6.80
20221016_124821.a      4.358    -87.567     15.000       6.30
20140823_223223.a    -32.695    -71.442     32.000       6.40
20160518_075702.a      0.426    -79.790     16.000       6.70
20150926_025118.a    -30.815    -71.322     46.000       6.30
20211011_091024.a     56.258   -156.553     69.000       6.90
